danceability,speechiness
0.503,0.0618
0.398,0.0922
0.394,0.0373
0.264,0.109
0.795,0.0324
0.407,0.0968
0.244,0.037
0.35,0.032
0.296,0.0285
0.186,0.13
0.147,0.176
0.219,0.232
0.237,0.0542
0.384,0.133
0.543,0.0476
0.211,0.206
0.308,0.28
0.345,0.0437
0.263,0.222
0.487,0.106
0.214,0.272
0.464,0.0701
0.407,0.156
0.308,0.0457
0.369,0.0762
0.553,0.0412
0.215,0.141
0.321,0.0936
0.276,0.193
0.316,0.0997
0.216,0.112
0.757,0.133
0.344,0.12
0.376,0.142
0.299,0.0541
0.208,0.121
0.823,0.109
0.74,0.0344
0.787,0.0637
0.828,0.0654
0.727,0.0403
0.545,0.0599
0.571,0.0246
0.613,0.0346
0.395,0.0282
0.818,0.11
0.671,0.0476
0.373,0.0554
0.645,0.0535
0.292,0.065
0.51,0.0411
0.524,0.0273
0.312,0.0738
0.459,0.117
0.395,0.0452
0.329,0.0299
0.488,0.0431
0.414,0.0499
0.17,0.0369
0.488,0.155
0.78,0.514
0.606,0.0392
0.239,0.0475
0.466,0.0408
0.263,0.0321
0.331,0.0648
0.234,0.0465
0.494,0.0399
0.323,0.0327
0.526,0.0599
0.406,0.0624
0.279,0.0694
0.543,0.0302
0.439,0.0338
0.274,0.0291
0.438,0.0342
0.316,0.11
0.452,0.0366
0.548,0.0357
0.362,0.0271
0.692,0.119
0.268,0.0346
0.155,0.126
0.491,0.0416
0.395,0.0329
0.577,0.0755
0.446,0.268
0.619,0.027
0.863,0.0528
0.293,0.0575
0.469,0.0333
0.744,0.0359
0.506,0.0626
0.42,0.0291
0.537,0.0335
0.623,0.0786
0.875,0.0376
0.503,0.0618
0.398,0.0922
0.394,0.0373
0.373,0.0554
0.645,0.0535
0.292,0.065
0.51,0.0411
0.524,0.0273
0.312,0.0738
0.459,0.117
0.395,0.0452
0.329,0.0299
0.488,0.0431
0.414,0.0499
0.17,0.0369
0.595,0.123
0.332,0.0491
0.574,0.031
0.463,0.0683
