danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.764,0.63,9,-6.52,0,0.0241,0.0546,0.0106,0.169,0.613,112.185,audio_features,16wN3WO8HI3Y6YCK0ejnWY,spotify:track:16wN3WO8HI3Y6YCK0ejnWY,https://api.spotify.com/v1/tracks/16wN3WO8HI3Y6YCK0ejnWY,https://api.spotify.com/v1/audio-analysis/16wN3WO8HI3Y6YCK0ejnWY,261480,4
0.286,0.982,9,-5.078,1,0.081,0.000767,9.74E-05,0.444,0.136,89.755,audio_features,18NLKh6YSZYshEydreeJ1a,spotify:track:18NLKh6YSZYshEydreeJ1a,https://api.spotify.com/v1/tracks/18NLKh6YSZYshEydreeJ1a,https://api.spotify.com/v1/audio-analysis/18NLKh6YSZYshEydreeJ1a,174773,4
0.41,0.575,2,-8.609,1,0.0368,0.408,0,0.291,0.503,132.074,audio_features,1aaBQH69S1J7x0r1e7ja6U,spotify:track:1aaBQH69S1J7x0r1e7ja6U,https://api.spotify.com/v1/tracks/1aaBQH69S1J7x0r1e7ja6U,https://api.spotify.com/v1/audio-analysis/1aaBQH69S1J7x0r1e7ja6U,226813,3
0.667,0.713,2,-7.253,1,0.0462,0.521,0,0.0734,0.526,113.521,audio_features,1axhVAiAZ8xJ1tk8EiKcui,spotify:track:1axhVAiAZ8xJ1tk8EiKcui,https://api.spotify.com/v1/tracks/1axhVAiAZ8xJ1tk8EiKcui,https://api.spotify.com/v1/audio-analysis/1axhVAiAZ8xJ1tk8EiKcui,236507,4
0.354,0.965,9,-6.484,0,0.11,0.0365,0.011,0.848,0.0471,124.923,audio_features,1B4UkeQ5Qe6MZd0Jxfz9vL,spotify:track:1B4UkeQ5Qe6MZd0Jxfz9vL,https://api.spotify.com/v1/tracks/1B4UkeQ5Qe6MZd0Jxfz9vL,https://api.spotify.com/v1/audio-analysis/1B4UkeQ5Qe6MZd0Jxfz9vL,90013,4
0.449,0.532,7,-7.79,1,0.0269,0.0401,5.09E-06,0.33,0.305,75.027,audio_features,1bwhikEsM3OsxneEOZRrm2,spotify:track:1bwhikEsM3OsxneEOZRrm2,https://api.spotify.com/v1/tracks/1bwhikEsM3OsxneEOZRrm2,https://api.spotify.com/v1/audio-analysis/1bwhikEsM3OsxneEOZRrm2,248707,3
0.294,0.76,2,-10.473,1,0.0872,0.0125,0.00301,0.25,0.2,134.434,audio_features,1pqgYOh5HGEbFjtYfPWMV3,spotify:track:1pqgYOh5HGEbFjtYfPWMV3,https://api.spotify.com/v1/tracks/1pqgYOh5HGEbFjtYfPWMV3,https://api.spotify.com/v1/audio-analysis/1pqgYOh5HGEbFjtYfPWMV3,501000,4
0.506,0.442,7,-6.819,1,0.0264,0.354,0,0.11,0.363,81.63,audio_features,1DPSwxTNUNs6Fik5GCylQZ,spotify:track:1DPSwxTNUNs6Fik5GCylQZ,https://api.spotify.com/v1/tracks/1DPSwxTNUNs6Fik5GCylQZ,https://api.spotify.com/v1/audio-analysis/1DPSwxTNUNs6Fik5GCylQZ,228053,3
0.423,0.688,5,-5.211,1,0.0303,0.366,0,0.123,0.255,78.556,audio_features,0rJqgqHkdXSBh47bUn4AIs,spotify:track:0rJqgqHkdXSBh47bUn4AIs,https://api.spotify.com/v1/tracks/0rJqgqHkdXSBh47bUn4AIs,https://api.spotify.com/v1/audio-analysis/0rJqgqHkdXSBh47bUn4AIs,194607,4
0.691,0.375,0,-10.662,1,0.0309,0.407,0.000131,0.0541,0.573,112.611,audio_features,1dxStFEr1Aw6mms0SR313u,spotify:track:1dxStFEr1Aw6mms0SR313u,https://api.spotify.com/v1/tracks/1dxStFEr1Aw6mms0SR313u,https://api.spotify.com/v1/audio-analysis/1dxStFEr1Aw6mms0SR313u,256413,4
0.37,0.363,5,-11.539,1,0.0355,0.884,2.26E-05,0.125,0.258,118.771,audio_features,7AfBKSgoVDQVUHeUXkxdU1,spotify:track:7AfBKSgoVDQVUHeUXkxdU1,https://api.spotify.com/v1/tracks/7AfBKSgoVDQVUHeUXkxdU1,https://api.spotify.com/v1/audio-analysis/7AfBKSgoVDQVUHeUXkxdU1,78563,3
0.371,0.556,4,-10.476,0,0.0528,0.719,3.84E-05,0.371,0.629,143.199,audio_features,2WxjOLffN3VZzJDNvlmVSi,spotify:track:2WxjOLffN3VZzJDNvlmVSi,https://api.spotify.com/v1/tracks/2WxjOLffN3VZzJDNvlmVSi,https://api.spotify.com/v1/audio-analysis/2WxjOLffN3VZzJDNvlmVSi,262560,4
0.317,0.896,2,-6.089,1,0.104,0.122,0.0168,0.253,0.421,126.894,audio_features,1IhLUUzMxDDJ9pzfT95exy,spotify:track:1IhLUUzMxDDJ9pzfT95exy,https://api.spotify.com/v1/tracks/1IhLUUzMxDDJ9pzfT95exy,https://api.spotify.com/v1/audio-analysis/1IhLUUzMxDDJ9pzfT95exy,168973,4
0.706,0.803,0,-6.937,1,0.0433,0.158,0.0113,0.31,0.585,120.008,audio_features,1JPMLDoao1rZ1OT1BmCmTz,spotify:track:1JPMLDoao1rZ1OT1BmCmTz,https://api.spotify.com/v1/tracks/1JPMLDoao1rZ1OT1BmCmTz,https://api.spotify.com/v1/audio-analysis/1JPMLDoao1rZ1OT1BmCmTz,237853,4
0.337,0.573,2,-13.872,1,0.0364,0.265,0.0151,0.0792,0.699,117.597,audio_features,29uME0X8n4fNwNqZ6bKZqg,spotify:track:29uME0X8n4fNwNqZ6bKZqg,https://api.spotify.com/v1/tracks/29uME0X8n4fNwNqZ6bKZqg,https://api.spotify.com/v1/audio-analysis/29uME0X8n4fNwNqZ6bKZqg,262200,4
0.476,0.811,0,-7.703,1,0.0487,0.109,0.000445,0.056,0.772,116.763,audio_features,1MdPV7tPVu56WfzNWWJqak,spotify:track:1MdPV7tPVu56WfzNWWJqak,https://api.spotify.com/v1/tracks/1MdPV7tPVu56WfzNWWJqak,https://api.spotify.com/v1/audio-analysis/1MdPV7tPVu56WfzNWWJqak,237547,4
0.352,0.413,7,-7.907,0,0.0329,0.226,0.00045,0.215,0.217,184.188,audio_features,1mh5vIO2NKALSA8KTacWUG,spotify:track:1mh5vIO2NKALSA8KTacWUG,https://api.spotify.com/v1/tracks/1mh5vIO2NKALSA8KTacWUG,https://api.spotify.com/v1/audio-analysis/1mh5vIO2NKALSA8KTacWUG,287388,4
0.669,0.818,2,-6.329,1,0.0577,0.105,0,0.0784,0.649,120.023,audio_features,1MKMMux7dQp4TW3xWO0wxu,spotify:track:1MKMMux7dQp4TW3xWO0wxu,https://api.spotify.com/v1/tracks/1MKMMux7dQp4TW3xWO0wxu,https://api.spotify.com/v1/audio-analysis/1MKMMux7dQp4TW3xWO0wxu,248667,4
0.61,0.759,0,-6.828,1,0.0451,0.696,3.17E-06,0.334,0.778,77.138,audio_features,1MpXmio8CCqx5MJQ12JVfi,spotify:track:1MpXmio8CCqx5MJQ12JVfi,https://api.spotify.com/v1/tracks/1MpXmio8CCqx5MJQ12JVfi,https://api.spotify.com/v1/audio-analysis/1MpXmio8CCqx5MJQ12JVfi,163520,4
0.42,0.878,2,-8.302,1,0.0511,0.176,0.848,0.239,0.529,128.813,audio_features,3upBt9DZYK68Za9nBdweZB,spotify:track:3upBt9DZYK68Za9nBdweZB,https://api.spotify.com/v1/tracks/3upBt9DZYK68Za9nBdweZB,https://api.spotify.com/v1/audio-analysis/3upBt9DZYK68Za9nBdweZB,189173,4
